Kabupaten,Kejadian Pungutan Liar,Jumlah Kejadian Tingkat Pembunuhan,Transparansi Anggaran_2023,Kejahatan Terorganisir,Transparansi Anggaran_2024
5301,5.0,3.89,5.0,4.97,5
5302,5.0,3.89,5.0,4.96,5
5303,5.0,3.89,3.75,4.99,5
5304,5.0,3.89,5.0,5.0,5
5305,5.0,3.89,5.0,4.98,5
5306,5.0,3.33,5.0,5.0,5
5307,5.0,4.44,5.0,4.98,5
5308,5.0,3.33,5.0,4.95,5
5309,5.0,5.0,5.0,4.98,5
5310,5.0,5.0,5.0,4.96,5
5311,5.0,5.0,5.0,4.99,5
5312,5.0,4.44,5.0,5.0,5
5313,5.0,5.0,5.0,4.95,5
5314,5.0,5.0,5.0,4.98,5
5315,5.0,5.0,5.0,4.92,5
5316,5.0,5.0,5.0,4.95,5
5317,5.0,2.22,5.0,4.97,5
5318,5.0,5.0,5.0,4.92,5
5319,5.0,4.44,5.0,5.0,5
5320,5.0,4.44,5.0,5.0,5
5321,5.0,5.0,5.0,4.86,5
5371,5.0,5.0,5.0,4.99,5
