kabupaten,pilar_1,pilar_2,pilar_3,pilar_4,pilar_5,pilar_6,pilar_7,pilar_8,pilar_9,pilar_10,pilar_11,pilar_12
SUMBA BARAT,5,1.13,3.31,5.0,3.64,2.26,4.21,0.69,3.58,3.26,0.38,4.14
SUMBA TIMUR,5,0.31,4.32,5.0,3.49,2.45,2.95,1.15,1.6,3.71,0.61,4.3
KUPANG,5,0.22,4.13,4.19,3.48,2.51,2.8,1.61,0.4,3.8,4.21,3.39
TIMOR TENGAH SELATAN,5,0.38,4.15,5.0,3.59,2.25,2.94,1.04,1.15,3.8,0.67,4.32
TIMOR TENGAH UTARA,5,0.41,4.74,5.0,3.64,2.67,3.03,2.14,2.31,3.57,0.33,4.89
BELU,5,0.05,4.35,4.24,3.48,2.48,4.46,2.28,3.54,3.58,2.66,3.65
ALOR,5,0.14,4.13,5.0,3.23,2.82,3.67,2.01,2.9,3.41,1.91,4.83
LEMBATA,5,0.84,4.26,3.94,3.65,2.78,3.77,1.98,1.53,3.16,1.86,4.86
FLORES TIMUR,5,0.6,4.6,3.81,3.51,2.61,4.41,1.7,2.47,3.65,0.98,4.87
SIKKA,5,0.55,4.96,3.43,3.68,2.32,3.68,2.02,2.78,3.63,0.7,4.67
ENDE,5,0.58,4.9,4.05,3.52,2.75,3.83,1.1,2.7,3.73,0.87,4.98
NGADA,5,1.3,4.02,3.56,3.71,2.88,3.33,1.09,2.7,3.47,0.65,4.8
MANGGARAI,5,2.38,4.41,4.57,3.64,2.55,4.13,1.56,3.05,3.58,5.0,4.81
ROTE NDAO,5,0.5,3.72,4.49,3.48,2.66,2.99,1.73,0.81,3.4,1.26,3.93
MANGGARAI BARAT,5,0.82,4.52,5.0,3.66,2.62,2.85,1.63,0.72,3.47,0.78,4.79
SUMBA TENGAH,5,0.89,3.78,5.0,3.74,2.29,3.45,0.78,1.27,2.97,1.89,4.2
SUMBA BARAT DAYA,5,1.61,3.84,5.0,3.75,2.12,3.67,1.25,0.82,3.48,1.77,4.4
NAGEKEO,5,0.6,4.29,3.73,3.65,2.67,2.67,1.23,1.16,3.24,4.21,4.47
MANGGARAI TIMUR,5,0.91,4.2,4.84,3.71,2.5,3.06,1.37,0.76,3.42,0.14,4.85
SABU RAIJUA,5,2.62,3.64,5.0,3.14,2.29,3.23,0.71,0.82,2.98,3.35,4.09
MALAKA,5,0.36,4.44,3.73,3.48,2.39,3.04,1.3,1.17,3.38,2.59,4.61
KOTA KUPANG,5,5.0,5.0,3.37,3.85,3.92,5.0,2.6,3.76,4.34,0.95,4.21
